"Question","Option A","Option B","Option C","Option D","Correct Option","Explanation","Is Code"
"Who composed the national song 'Vande Mataram'?","Rabindranath Tagore","Bankim Chandra Chattopadhyay","Sarojini Naidu","Subramania Bharati","B","Bankim Chandra Chattopadhyay composed Vande Mataram in Sanskrit in 1870s, which was included in his novel Anandamath.","false"
"Which leader is known as 'Netaji'?","Subhas Chandra Bose","Bhagat Singh","Dadabhai Naoroji","Chandrashekhar Azad","A","Subhas Chandra Bose was granted the honorific title 'Netaji' by Indian soldiers of the Azad Hind Fauj.","false"
"Which organization was founded by Allan Octavian Hume in 1885?","Indian National Congress","Home Rule League","Servants of India Society","All India Muslim League","A","The Indian National Congress (INC) was founded in December 1885 by A. O. Hume.","false"
"What does the term 'Swadeshi' literally mean?","Industrial development","Self-reliance or of one's own country","Military power","Religious unity","B","Swadeshi means 'of one's own country' and emphasizes self-reliance.","false"
"Which movement was launched after the partition of Bengal in 1905?","Swadeshi Movement","Khilafat Movement","Champaran Satyagraha","Individual Satyagraha","A","The Swadeshi Movement was formally proclaimed in August 1905 in response to the Partition of Bengal.","false"
"Who founded the All India Women's Conference in 1927?","Annie Besant","Sarojini Naidu","Aruna Asaf Ali","Vijayalakshmi Pandit","A","Annie Besant along with Margaret Cousins helped found early national women's organizations leading up to AIWC.","false"
"Which freedom fighter was known as the 'Grand Old Man of India'?","Chandrashekhar Azad","Dadabhai Naoroji","Gopal Krishna Gokhale","C. Rajagopalachari","B","Dadabhai Naoroji was known as the 'Grand Old Man of India' for his lifetime contribution to national politics.","false"
"Who is remembered as the 'Nightingale of India'?","Sarojini Naidu","Annie Besant","Kasturba Gandhi","Madam Bhikaji Cama","A","Sarojini Naidu was given the title 'Bharat Kokila' or the 'Nightingale of India' by Mahatma Gandhi.","false"
"Which leader gave the slogan 'Do or Die' during the Quit India Movement?","Mahatma Gandhi","Jawaharlal Nehru","Sardar Vallabhbhai Patel","Subhas Chandra Bose","A","Mahatma Gandhi gave the call 'Do or Die' ('Karo ya Maro') during his speech at Gowalia Tank Maidan in 1942.","false"
"What was the main objective of the Non-Cooperation Movement launched in 1920?","To cooperate with British authorities","To withdraw support from British institutions non-violently","To establish armed resistance","To demand partition","B","The movement aimed to withhold cooperation from the British government through non-violent resistance.","false"
"Which freedom fighter was involved in the Kakori Train Conspiracy of 1925?","Ram Prasad Bismil","Madan Mohan Malaviya","Rajendra Prasad","Bipin Chandra Pal","A","Ram Prasad Bismil was a leader of the Hindustan Republican Association involved in the Kakori event.","false"
"Which leader was popularly known as 'Lokmanya'?","Bal Gangadhar Tilak","Lala Lajpat Rai","Gopal Krishna Gokhale","Dadabhai Naoroji","A","Bal Gangadhar Tilak was honored with the title 'Lokmanya', meaning accepted by the people as their leader.","false"
"Which woman freedom fighter hoisted the Indian flag at Gowalia Tank Maidan during Quit India Movement?","Aruna Asaf Ali","Sarojini Naidu","Kamaladevi Chattopadhyay","Sucheta Kripalani","A","Aruna Asaf Ali hoisted the Indian flag at Gowalia Tank Maidan in Bombay during the Quit India Movement in 1942.","false"
"Which movement was started in 1942 demanding an end to British rule in India?","Swadeshi Movement","Quit India Movement","Khilafat Movement","Champaran Satyagraha","B","The Quit India Movement was officially launched in August 1942 demanding an immediate end to British rule.","false"
"Which principle was central to Mahatma Gandhi's philosophy of resistance?","Armed rebellion","Nonviolent resistance (Ahimsa)","Secret political assassination","Economic boycott only","B","Ahimsa (non-violence) was the fundamental principle of Mahatma Gandhi's philosophy and actions.","false"
"Which freedom fighter authored the book 'The First War of Indian Independence'?","Vinayak Damodar Savarkar","Bhagat Singh","Rajguru","Ashfaqulla Khan","A","Veer Vinayak Damodar Savarkar authored 'The Indian War of Independence 1857'.","false"
"Which group of nationalist leaders was famously known as 'Lal Bal Pal'?","Mahatma Gandhi, Nehru, & Patel","Lala Lajpat Rai, Bal Gangadhar Tilak, & Bipin Chandra Pal","Sardar Patel, Subhas Bose, & Azad","Dadabhai Naoroji, Gokhale, & Ranade","B","Lal Bal Pal refers to Lala Lajpat Rai, Bal Gangadhar Tilak, and Bipin Chandra Pal.","false"
"What was the main purpose of the Dandi March in 1930?","To support British taxes","To organize Salt Satyagraha against the salt tax monopoly","To promote industrial growth","To establish local government","B","The Dandi March was an act of non-violent civil disobedience against the British salt tax monopoly.","false"
"Which freedom fighter established the India House in London?","Shyamji Krishna Varma","Mahatma Gandhi","Motilal Nehru","Rajendra Prasad","A","Shyamji Krishna Varma established India House in London as a nationalist organization for Indian students.","false"
"Which economic concept was highlighted by Dadabhai Naoroji in his book?","Drain of Wealth theory","Doctrine of Lapse","Subsidiary Alliance","Permanent Settlement","A","Dadabhai Naoroji articulated the 'Drain of Wealth' theory detailing economic exploitation under British rule.","false"
"Which leader formed the 'Forward Bloc' party in 1939?","Subhas Chandra Bose","B. R. Ambedkar","M. G. Ranade","Surendranath Banerjee","A","Subhas Chandra Bose founded the All India Forward Bloc in 1939.","false"
"Which revolutionary was hanged alongside Bhagat Singh and Rajguru in 1931?","Sukhdev Thapar","Mahatma Gandhi","Sardar Patel","C. Rajagopalachari","A","Sukhdev Thapar was executed alongside Bhagat Singh and Rajguru on 23 March 1931 in Lahore.","false"
"Which freedom movement was started to protest against the Rowlatt Act?","Rowlatt Satyagraha / Non-Cooperation","Subsidiary Alliance","Doctrine of Lapse","Permanent Settlement","A","Mahatma Gandhi launched the Rowlatt Satyagraha in 1919 against the repressive Rowlatt Act.","false"
"Which statement best describes the Quit India Resolution of 1942?","It demanded an immediate end to British rule in India","It demanded partial self-rule","It promoted cooperation with British forces","It focused only on economic reforms","A","The Quit India Resolution demanded an immediate and complete end to British colonial rule in India.","false"
